,Name,Year,Mileage,Count Raiting,Rating,Fuel type,Interior color,Exterior_color,Price,bind_price
7964,Tesla Model 3 Long Range,2018,19910.0,646.0,4.4,1, Black , Midnight Silver Metallic ,49500.0,7
7965,Tesla Model 3 Long Range,2019,71246.0,185.0,3.2,1, Black , White ,49479.0,7
7966,Tesla Model 3 Long Range,2018,24326.0,8383.0,4.3,1, Black , Black ,46990.0,7
7967,Tesla Model 3 Long Range,2021,1317.0,3.0,4.9,1, Black , Black ,59998.0,8
7969,Tesla Model 3 Performance,2020,21187.0,8381.0,4.3,1, Black , Blue ,59590.0,8
7971,Tesla Model 3 Long Range,2020,21773.0,631.0,4.7,1, Black , Pearl White Multi ,53399.0,8
7972,Tesla Model 3 Long Range,2021,15264.0,2.0,1.0,1, Gray , White ,56998.0,8
7973,Tesla Model 3 Performance,2020,11063.0,46.0,4.4,1, White / Black , Blue ,67990.0,9
7974,Tesla Model 3 Long Range,2020,1305.0,731.0,4.0,1, Black , Deep Blue Metallic ,55000.0,8
7975,Tesla Model 3 Long Range,2019,24974.0,7340.0,3.7,1, Black , White ,47999.0,7
7976,Tesla Model 3 Long Range,2018,60899.0,1.0,5.0,1, Black , Black ,47800.0,7
7977,Tesla Model 3 Long Range,2018,47839.0,104.0,4.0,1, Black , Black ,46450.0,7
7978,Tesla Model 3 Long Range,2018,39023.0,2.0,5.0,1, Black , Gray ,45998.0,7
7979,Tesla Model 3 Long Range,2019,37592.0,8383.0,4.3,1, Black , Blue ,47590.0,7
7980,Tesla Model 3 Long Range,2020,13553.0,8382.0,4.3,1, Black , Blue ,52990.0,8
7981,Tesla Model 3 Long Range,2019,14909.0,2112.0,4.5,1, Black , Gray ,52999.0,8
7982,Tesla Model 3 Long Range,2020,16812.0,20731.0,4.9,1, White / Black , Pearl White Multi ,54749.0,8
7986,Tesla Model 3 Performance,2021,21093.0,593.0,4.2,1, Black , Black ,59995.0,8
7987,Tesla Model 3 Long Range,2018,42113.0,235.0,4.8,1, Black , Black ,52000.0,8
7988,Tesla Model 3 Long Range,2018,20612.0,8381.0,4.3,1, Black , Gray ,50990.0,8
7989,Tesla Model 3 Long Range,2018,27289.0,7339.0,3.7,1, Black , Solid Black ,52999.0,8
7990,Tesla Model 3 Long Range,2019,19768.0,7339.0,3.7,1, Black , Pearl White Multi-Coat ,53999.0,8
7991,Tesla Model 3 Performance,2020,9165.0,558.0,4.6,1, White / Black , Pearl White Multi ,61700.0,9
7992,Tesla Model 3 Long Range,2019,11340.0,8384.0,4.3,1, Black , Blue ,50990.0,8
7993,Tesla Model 3 Long Range,2018,28479.0,22.0,2.9,1, White , Gray ,50998.0,8
7994,Tesla Model 3 Long Range,2019,10377.0,8381.0,4.3,1, Black , White ,54990.0,8
7995,Tesla Model 3 Performance,2020,21165.0,7342.0,3.7,1, White , Red Multi-Coat ,61499.0,9
7996,Tesla Model 3 Performance,2020,20551.0,1605.0,4.6,1, Black , Midnight Silver Metallic ,59750.0,8
7997,Tesla Model 3 Long Range,2020,30651.0,1675.0,4.7,1, Black , Pearl White Multi ,49968.0,7
7998,Tesla Model 3 Long Range,2019,24400.0,8381.0,4.3,1, Black , White ,50590.0,8
7999,Tesla Model 3 Performance,2021,10048.0,608.0,4.6,1, Black , White ,63445.0,9
8001,Tesla Model 3 Long Range,2018,30800.0,7344.0,3.7,1, Black , White ,47999.0,7
8002,Tesla Model 3 Long Range,2019,5462.0,8383.0,4.3,1, Black , Gray ,52990.0,8
8003,Tesla Model 3 Long Range,2019,13413.0,8381.0,4.3,1, Black , Blue ,50990.0,8
8004,Tesla Model 3 Performance,2021,11459.0,2975.0,4.8,1, Black , White ,65990.0,9
8005,Tesla Model 3 Long Range,2019,60218.0,77.0,4.7,1, Black , Pearl White Multi ,49988.0,7
8006,Tesla Model 3 Performance,2020,16889.0,415.0,4.8,1, Black , Pearl White Multi ,59500.0,8
8007,Tesla Model 3 Long Range,2018,30780.0,8387.0,4.3,1, Black , Black ,47590.0,7
8008,Tesla Model 3 Long Range,2018,30570.0,8381.0,4.3,1, White , White ,49990.0,7
8009,Tesla Model 3 Long Range,2018,28524.0,3.0,4.3,1, Black , Black ,48998.0,7
8010,Tesla Model 3 Long Range,2018,21465.0,1.0,5.0,1, White , Silver ,52995.0,8
8012,Tesla Model 3 Performance,2020,20521.0,8386.0,4.3,1, Black , White ,59590.0,8
8013,Tesla Model 3 Performance,2020,20289.0,1.0,1.0,1, Black , White ,59999.0,8
8014,Tesla Model 3 Long Range,2018,41819.0,7344.0,3.7,1, Black , Blue ,44999.0,7
8015,Tesla Model 3 Long Range,2019,23772.0,6.0,2.9,1, Black , Black ,48998.0,7
8016,Tesla Model 3 Long Range,2020,24174.0,11.0,2.3,1, White / Black , White ,54998.0,8
8017,Tesla Model 3 Long Range,2018,28734.0,25.0,4.8,1, Charcoal , Deep Blue ,49999.0,7
8018,Tesla Model 3 Long Range,2021,9105.0,1261.0,4.7,1, Black , Pearl White Multi ,60600.0,9
8019,Tesla Model 3 Long Range,2018,21515.0,131.0,3.7,1, Black , Red Multi ,49450.0,7
8020,Tesla Model 3 Performance,2020,21473.0,7341.0,3.7,1, Black , White ,57999.0,8
8022,Tesla Model 3 Long Range,2018,18098.0,8381.0,4.3,1, Black , Blue ,45990.0,7
8023,Tesla Model 3 Performance,2018,26267.0,174.0,4.6,1, Black , Black ,53980.0,8
8024,Tesla Model 3 Performance,2020,19869.0,417.0,4.7,1, Black , – ,59988.0,8
8025,Tesla Model 3 Long Range,2018,27444.0,1.0,5.0,1, White , Red Multi-Coat ,49999.0,7
8026,Tesla Model 3 Performance,2021,3068.0,1296.0,4.8,1, Black , Black ,65000.0,9
8027,Tesla Model 3 Performance,2020,46251.0,179.0,4.8,1, Black , Pearl White ,55900.0,8
8028,Tesla Model 3 Long Range,2020,14021.0,7339.0,3.7,1, Black , Blue ,54499.0,8
8030,Tesla Model 3 LONG RANGE 4DR FASTBACK,2018,33604.0,7358.0,3.7,1, Black , Black ,44999.0,7
8031,Tesla Model 3 Long Range,2021,360.0,861.0,4.9,1, Black , White ,65221.0,9
8032,Tesla Model 3 Long Range,2021,1423.0,861.0,4.9,1, Black , Pearl White Multi ,62376.0,9
8034,Tesla Model 3 Long Range,2019,18998.0,7342.0,3.7,1, Black , Red Multi-Coat ,53999.0,8
8035,Tesla Model 3 Long Range,2021,3118.0,8381.0,4.3,1, White / Black , Red Multi ,59990.0,8
8036,Tesla Model 3 Long Range,2018,29922.0,8381.0,4.3,1, Black , Blue ,51590.0,8
8037,Tesla Model 3 Long Range,2018,52073.0,879.0,4.6,1, Black , Red Multi ,44999.0,7
8038,Tesla Model 3 Long Range,2020,22378.0,8392.0,4.3,1, Black , White ,51590.0,8
8039,Tesla Model 3 Long Range,2019,17493.0,8381.0,4.3,1, Black , Blue ,51990.0,8
8040,Tesla Model 3 Performance,2020,19349.0,175.0,4.7,1, Black , Black ,58995.0,8
8041,Tesla Model 3 Long Range,2019,39564.0,8381.0,4.3,1, White / Black , Black ,48590.0,7
8042,Tesla Model 3 Long Range,2020,15180.0,193.0,4.2,1, Black , Pearl White Multi ,54998.0,8
8043,Tesla Model 3 Long Range,2021,7134.0,8381.0,4.3,1, White / Black , White ,57590.0,8
8044,Tesla Model 3 Long Range,2021,3470.0,4617.0,4.9,1, Black , Pearl White Multi ,61861.0,9
8045,Tesla Model 3 Long Range,2018,43717.0,8392.0,4.3,1, White , Blue ,44990.0,7
8046,Tesla Model 3 Long Range,2018,43823.0,376.0,4.6,1, Black , Deep Blue Metallic ,49595.0,7
8047,Tesla Model 3 Long Range,2020,15235.0,7339.0,3.7,1, Black , Midnight Silver Metallic ,55999.0,8
8048,Tesla Model 3 Long Range,2019,36325.0,2745.0,4.8,1, White / Black , Deep Blue Metallic ,51963.0,8
8050,Tesla Model 3 LONG RANGE 4DR FASTBACK,2018,26330.0,1.0,1.0,1, Black , Pearl White Multi-Coat ,44999.0,7
8051,Tesla Model 3 Performance,2020,23444.0,7341.0,3.7,1, Black , White ,58499.0,8
8052,Tesla Model 3 Performance,2019,45145.0,2267.0,4.9,1, White / Black , Midnight Silver Metallic ,50990.0,8
8053,Tesla Model 3 Performance,2018,48429.0,2112.0,4.5,1, Black , Black ,46999.0,7
8055,Tesla Model 3 Long Range,2019,21389.0,67.0,4.1,1, Black , White ,51499.0,8
8056,Tesla Model 3 Performance,2020,25882.0,139.0,4.8,1, White / Black , White ,63888.0,9
8057,Tesla Model 3 Long Range,2020,74525.0,111.0,4.1,1, Black , Pearl White Multi ,48989.0,7
